Unnamed: 0,Condition,Commonness Score,Link,Symptoms
32,Fibromyalgia,4,https://www.mayoclinic.org/diseases-conditions/fibromyalgia/symptoms-causes/syc-20354780,"Widespread pain The pain associated with fibromyalgia often is described as a constant dull ache that has lasted for at least three months To be considered widespread, the pain must occur on both sides of your body and above and below your waist, Fatigue People with fibromyalgia often awaken tired, even though they report sleeping for long periods of time Sleep is often disrupted by pain, and many patients with fibromyalgia have other sleep disorders, such as restless legs syndrome and sleep apnea, Cognitive difficulties A symptom commonly referred to as ""fibro fog"" impairs the ability to focus, pay attention and concentrate on mental tasks"
33,Rosacea,4,https://www.mayoclinic.org/diseases-conditions/rosacea/symptoms-causes/syc-20353815,"Facial blushing or flushing Rosacea can cause a persistent blushing or flushing in the central part of your face This sign of the condition may be difficult to see on brown and Black skin, Visible veins Small blood vessels of your nose and cheeks break and become visible (spider veins), Swollen bumps Many people with rosacea also develop pimples on their face that resemble acne These bumps sometimes contain pus, Burning sensation The skin of the affected area may feel hot and tender, Eye problems Many people with rosacea also experience dry, irritated, swollen eyes and eyelids This is known as ocular rosacea In some people, the eye symptoms precede the skin symptoms, Enlarged nose Over time, rosacea can thicken the skin on the nose, causing the nose to appear bulbous (rhinophyma) This occurs more often in men than in women"
34,Peripheral Artery Disease,4,https://www.mayoclinic.org/diseases-conditions/peripheral-artery-disease/symptoms-causes/syc-20350557,"Coldness in the lower leg or foot, especially when compared with the other side, Leg numbness or weakness, No pulse or a weak pulse in the legs or feet, Painful cramping in one or both of the hips, thighs or calf muscles after certain activities, such as walking or climbing stairs, Shiny skin on the legs, Skin color changes on the legs, Slower growth of the toenails, Sores on the toes, feet or legs that won't heal, Pain when using the arms, such as aching and cramping when knitting, writing or doing other manual tasks, Erectile dysfunction, Hair loss or slower hair growth on the legs"
35,Epilepsy,4,https://www.mayoclinic.org/diseases-conditions/epilepsy/care-at-mayo-clinic/mac-20350102,
36,Lyme Disease,3,https://www.mayoclinic.org/diseases-conditions/lyme-disease/symptoms-causes/syc-20374651,"Fever, Headache, Extreme tiredness, Joint stiffness, Muscle aches and pains, Swollen lymph nodes"
37,Celiac Disease,3,https://www.mayoclinic.org/diseases-conditions/celiac-disease/symptoms-causes/syc-20352220,"Diarrhea, Fatigue, Weight loss, Bloating and gas, Abdominal pain, Nausea and vomiting, Constipation"
38,Glaucoma,3,https://www.mayoclinic.org/diseases-conditions/glaucoma/symptoms-causes/syc-20372839,"No symptoms in early stages, Gradually, patchy blind spots in your side vision Side vision also is known as peripheral vision, In later stages, difficulty seeing things in your central vision"
39,Pneumonia,3,https://www.mayoclinic.org/diseases-conditions/pneumonia/symptoms-causes/syc-20354204,"Chest pain when you breathe or cough, Confusion or changes in mental awareness (in adults age 65 and older), Cough, which may produce phlegm, Fatigue, Fever, sweating and shaking chills, Lower than normal body temperature (in adults older than age 65 and people with weak immune systems), Nausea, vomiting or diarrhea, Shortness of breath"
40,Sexually Transmitted Infections (STIs),3,https://www.mayoclinic.org/diseases-conditions/sexually-transmitted-diseases-stds/symptoms-causes/syc-20351240,"Sores or bumps on the genitals or in the oral or rectal area, Painful or burning urination, Discharge from the penis, Unusual or odorous vaginal discharge, Unusual vaginal bleeding, Pain during sex, Sore, swollen lymph nodes, particularly in the groin but sometimes more widespread, Lower abdominal pain, Fever, Rash over the trunk, hands or feet"
41,Dental Cavities (Caries),4,https://www.mayoclinic.org/diseases-conditions/cavities/symptoms-causes/syc-20352892,"Toothache, spontaneous pain or pain that occurs without any apparent cause, Tooth sensitivity, Mild to sharp pain when eating or drinking something sweet, hot or cold, Visible holes or pits in your teeth, Brown, black or white staining on any surface of a tooth, Pain when you bite down"
42,Conjunctivitis (Pink Eye),3,https://www.mayoclinic.org/diseases-conditions/pink-eye/symptoms-causes/syc-20376355,"Redness in one or both eyes, Itchiness in one or both eyes, A gritty feeling in one or both eyes, A discharge in one or both eyes that forms a crust during the night that may prevent your eye or eyes from opening in the morning, Tearing, Sensitivity to light, called photophobia"
43,Chickenpox (Varicella),3,https://www.mayoclinic.org/diseases-conditions/chickenpox/symptoms-causes/syc-20351282,"Fever, Loss of appetite, Headache, Tiredness and a general feeling of being unwell"
44,Shingles (Herpes Zoster),3,https://www.mayoclinic.org/diseases-conditions/shingles/symptoms-causes/syc-20353054,"Pain, burning or tingling, Sensitivity to touch, A red rash that begins a few days after the pain, Fluid-filled blisters that break open and crust over, Itching"
45,Multiple Sclerosis,3,https://www.mayoclinic.org/diseases-conditions/multiple-sclerosis/symptoms-causes/syc-20350269,"Numbness or weakness in one or more limbs that typically occurs on one side of your body at a time, Tingling, Electric-shock sensations that occur with certain neck movements, especially bending the neck forward (Lhermitte sign), Lack of coordination, Unsteady gait or inability to walk, Partial or complete loss of vision, usually in one eye at a time, often with pain during eye movement, Prolonged double vision, Blurry vision, Vertigo, Problems with sexual, bowel and bladder function, Fatigue, Slurred speech, Cognitive problems, Mood disturbances"
46,Endometriosis,3,https://www.mayoclinic.org/diseases-conditions/endometriosis/symptoms-causes/syc-20354656,"Painful periods (dysmenorrhea) Pelvic pain and cramping may begin before and extend several days into a menstrual period You may also have lower back and abdominal pain, Pain with intercourse Pain during or after sex is common with endometriosis, Pain with bowel movements or urination You're most likely to experience these symptoms during a menstrual period, Excessive bleeding You may experience occasional heavy menstrual periods or bleeding between periods (intermenstrual bleeding), Infertility Sometimes, endometriosis is first diagnosed in those seeking treatment for infertility, Other signs and symptoms You may experience fatigue, diarrhea, constipation, bloating or nausea, especially during menstrual periods"
47,Polycystic Ovary Syndrome (PCOS),3,https://www.mayoclinic.org/diseases-conditions/pcos/symptoms-causes/syc-20353439,"Irregular periods Having few menstrual periods or having periods that aren't regular are common signs of PCOS So is having periods that last for many days or longer than is typical for a period For example, you might have fewer than nine periods a year And those periods may occur more than 35 days apart You may have trouble getting pregnant, Too much androgen High levels of the hormone androgen may result in excess facial and body hair This is called hirsutism Sometimes, severe acne and male-pattern baldness can happen, too, Polycystic ovaries Your ovaries might be bigger Many follicles containing immature eggs may develop around the edge of the ovary The ovaries might not work the way they should"
48,Tuberculosis,3,https://www.mayoclinic.org/diseases-conditions/tuberculosis/symptoms-causes/syc-20351250,"Low fever, Tiredness, Cough"
49,Hemophilia,2,https://www.mayoclinic.org/diseases-conditions/hemophilia/diagnosis-treatment/drc-20373333,
50,Hepatitis A,3,https://www.mayoclinic.org/diseases-conditions/hepatitis-a/symptoms-causes/syc-20367007,"Unusual tiredness and weakness, Sudden nausea and vomiting and diarrhea, Abdominal pain or discomfort, especially on the upper right side beneath your lower ribs, which is over your liver, Clay- or gray-colored stool, Loss of appetite, Low-grade fever, Dark urine, Joint pain, Yellowing of the skin and the whites of your eyes (jaundice), Intense itching"
51,Huntington's Disease,2,https://www.mayoclinic.org/diseases-conditions/huntingtons-disease/symptoms-causes/syc-20356117,"Involuntary jerking or writhing movements (chorea), Muscle problems, such as rigidity or muscle contracture (dystonia), Slow or unusual eye movements, Impaired gait, posture and balance, Difficulty with speech or swallowing"
52,Hypercalcemia,2,https://www.mayoclinic.org/diseases-conditions/hypercalcemia/symptoms-causes/syc-20355523,"Kidneys Excess calcium makes your kidneys work harder to filter it This can cause excessive thirst and frequent urination, Digestive system Hypercalcemia can cause stomach upset, nausea, vomiting and constipation, Bones and muscles In most cases, the excess calcium in your blood was leached from your bones, which weakens them This can cause bone pain and muscle weakness, Brain Hypercalcemia can interfere with how your brain works, resulting in confusion, lethargy and fatigue It can also cause depression, Heart Rarely, severe hypercalcemia can interfere with your heart function, causing palpitations and fainting, indications of cardiac arrhythmia, and other heart problems"
53,Hypothyroidism,2,https://www.mayoclinic.org/diseases-conditions/hypothyroidism/symptoms-causes/syc-20350284,"Tiredness, More sensitivity to cold, Constipation, Dry skin, Weight gain, Puffy face, Hoarse voice, Coarse hair and skin, Muscle weakness, Muscle aches, tenderness and stiffness, Menstrual cycles that are heavier than usual or irregular, Thinning hair, Slowed heart rate, also called bradycardia, Depression, Memory problems"
54,Hyperthyroidism,4,https://www.mayoclinic.org/diseases-conditions/hyperthyroidism/symptoms-causes/syc-20373659,"Losing weight without trying, Fast heartbeat, a condition called tachycardia, Irregular heartbeat, also called arrhythmia, Pounding of the heart, sometimes called heart palpitations, Increased hunger, Nervousness, anxiety and irritability, Tremor, usually a small trembling in the hands and fingers, Sweating, Changes in menstrual cycles, Increased sensitivity to heat, Changes in bowel patterns, especially more-frequent bowel movements, Enlarged thyroid gland, sometimes called a goiter, which may appear as a swelling at the base of the neck, Tiredness, Muscle weakness, Sleep problems, Warm, moist skin, Thinning skin, Fine, brittle hair"
55,Hypotension,4,https://www.mayoclinic.org/diseases-conditions/low-blood-pressure/symptoms-causes/syc-20355465,"Blurred or fading vision, Dizziness or lightheadedness, Fainting, Fatigue, Trouble concentrating, Nausea"
56,Irritable Bowel Syndrome (IBS),3,https://www.mayoclinic.org/diseases-conditions/irritable-bowel-syndrome/symptoms-causes/syc-20360016,"Abdominal pain, cramping or bloating that is related to passing a bowel movement, Changes in appearance of bowel movement, Changes in how often you are having a bowel movement"
57,Kidney Stones,3,https://www.mayoclinic.org/diseases-conditions/kidney-stones/symptoms-causes/syc-20355755#:~:text=Kidney%20stones%20(also%20called%20renal,"Severe, sharp pain in the side and back, below the ribs, Pain that radiates to the lower abdomen and groin, Pain that comes in waves and fluctuates in intensity, Pain or burning sensation while urinating"
58,Lactose Intolerance,3,https://www.mayoclinic.org/diseases-conditions/lactose-intolerance/symptoms-causes/syc-20374232,"Diarrhea, Nausea, and sometimes, vomiting, Stomach cramps, Bloating, Gas"
59,Leukemia,2,https://www.mayoclinic.org/diseases-conditions/leukemia/symptoms-causes/syc-20374373,"Fever or chills, Persistent fatigue, weakness, Frequent or severe infections, Losing weight without trying, Swollen lymph nodes, enlarged liver or spleen, Easy bleeding or bruising, Recurrent nosebleeds, Tiny red spots in your skin (petechiae), Excessive sweating, especially at night, Bone pain or tenderness"
60,Lichen Planus,3,https://www.mayoclinic.org/diseases-conditions/lichen-planus/symptoms-causes/syc-20351378#:~:text=Lichen%20planus%20(LIE%2Dkun%20PLAY,"Purple, shiny, flat bumps, often on the inner forearms, wrists or ankles, Lines of rash where the skin has been scratched, Lacy white patches on the tongue or inside of the cheeks, Itchiness, Painful sores in the mouth or genitals, Rarely, hair loss, Nail scarring or loss, Dark lines from the tip of the nail to the base"
61,Liver Cirrhosis,2,https://www.mayoclinic.org/diseases-conditions/cirrhosis/symptoms-causes/syc-20351487#:~:text=Cirrhosis%20is%20severe%20scarring%20of,"Fatigue, Easily bleeding or bruising, Loss of appetite, Nausea, Swelling in the legs, feet or ankles, called edema, Weight loss, Itchy skin, Yellow discoloration in the skin and eyes, called jaundice, Fluid accumulation in the abdomen, called ascites (uh-SAHY-teez), Spiderlike blood vessels on the skin, Redness in the palms of the hands, Pale fingernails, especially the thumb and index finger, Clubbing of the fingers, in which the fingertips spread out and become rounder than usual, For women, absence of or loss of periods not related to menopause, For men, loss of sex drive, testicular shrinkage or breast enlargement, known as gynecomastia, Confusion, drowsiness or slurred speech"
62,Lupus,3,https://www.mayoclinic.org/diseases-conditions/lupus/symptoms-causes/syc-20365789#,"Fatigue, Fever, Joint pain, stiffness and swelling, Butterfly-shaped rash on the face that covers the cheeks and bridge of the nose or rashes elsewhere on the body, Skin lesions that appear or worsen with sun exposure, Fingers and toes that turn white or blue when exposed to cold or during stressful periods, Shortness of breath, Chest pain, Dry eyes, Headaches, confusion and memory loss"
63,Macular Degeneration,3,https://www.mayoclinic.org/diseases-conditions/dry-macular-degeneration/symptoms-causes/syc-20350375,"Visual distortions, such as straight lines seeming bent, Reduced central vision in one or both eyes, The need for brighter light when reading or doing close-up work, Increased difficulty adapting to low light levels, such as when entering a dimly lit restaurant or theater, Increased blurriness of printed words, Difficulty recognizing faces, A well-defined blurry spot or blind spot in the field of vision"
64,Measles,2,https://www.mayoclinic.org/diseases-conditions/measles/symptoms-causes/syc-20374857,"Fever, Dry cough, Runny nose, Sore throat, Inflamed eyes (conjunctivitis), Tiny white spots with bluish-white centers on a red background found inside the mouth on the inner lining of the cheek — also called Koplik's spots, A skin rash made up of large, flat blotches that often flow into one another"
65,Ménière's Disease,3,https://www.mayoclinic.org/diseases-conditions/menieres-disease/symptoms-causes/syc-20374910#:~:text=Overview,"Regular dizzy spells You have a spinning feeling that starts and stops suddenly Vertigo may start without warning It usually lasts 20 minutes to 12 hours, but not more than 24 hours Serious vertigo can cause nausea, Hearing loss Hearing loss in Meniere's disease may come and go, especially early on Over time, hearing loss can be long-lasting and not get better, Ringing in the ear Ringing in the ear is called tinnitus Tinnitus is the term for when you have a ringing, buzzing, roaring, whistling or hissing sound in your ear, Feeling of fullness in the ear People with Meniere's disease often feel pressure in the ear This is called aural fullness"
66,Meningitis,3,https://www.mayoclinic.org/diseases-conditions/meningitis/symptoms-causes/syc-20350508,"Sudden high fever, Stiff neck, Severe headache, Nausea or vomiting, Confusion or trouble concentrating, Seizures, Sleepiness or trouble waking, Sensitivity to light, No appetite or thirst, Skin rash in some cases, such as in meningococcal meningitis"
67,Menopause,3,https://www.mayoclinic.org/diseases-conditions/menopause/symptoms-causes/syc-20353397,"Irregular periods, Vaginal dryness, Hot flashes, Chills, Night sweats, Sleep problems, Mood changes, Weight gain and slowed metabolism, Thinning hair and dry skin, Loss of breast fullness"
68,Metabolic Syndrome,2,https://www.mayoclinic.org/diseases-conditions/metabolic-syndrome/symptoms-causes/syc-20351916,"Age Your risk of metabolic syndrome increases with age, Ethnicity In the United States, Hispanics — especially Hispanic women — appear to be at the greatest risk of developing metabolic syndrome The reasons for this are not entirely clear, Obesity Carrying too much weight, especially in your abdomen, increases your risk of metabolic syndrome, Diabetes You're more likely to have metabolic syndrome if you had diabetes during pregnancy (gestational diabetes) or if you have a family history of type 2 diabetes, Other diseases Your risk of metabolic syndrome is higher if you've ever had nonalcoholic fatty liver disease, polycystic ovary syndrome or sleep apnea"
69,Multiple Myeloma,3,https://www.mayoclinic.org/diseases-conditions/multiple-myeloma/symptoms-causes/syc-20353378,"Bone pain, especially in the spine, chest or hips, Nausea, Constipation, Loss of appetite, Mental fogginess or confusion, Tiredness, Infections, Weight loss, Weakness, Thirst, Needing to urinate often"
71,Mumps,2,https://www.mayoclinic.org/diseases-conditions/mumps/symptoms-causes/syc-20375361,"Fever, Headache, Muscle aches or pain, Not wanting to eat, Tiredness"
72,Myasthenia Gravis,2,https://www.mayoclinic.org/diseases-conditions/myasthenia-gravis/symptoms-causes/syc-20352036,"Drooping of one or both eyelids, called ptosis, Double vision, called diplopia, which may be horizontal or vertical, and improves or resolves when one eye is closed"
73,Myelodysplastic Syndromes,2,https://www.mayoclinic.org/diseases-conditions/myelodysplastic-syndrome/symptoms-causes/syc-20366977,"Fatigue, Shortness of breath, Unusual paleness (pallor), which occurs due to a low red blood cell count (anemia), Easy or unusual bruising or bleeding, which occurs due to a low blood platelet count (thrombocytopenia), Pinpoint-sized red spots just beneath the skin that are caused by bleeding (petechiae), Frequent infections, which occur due to a low white blood cell count (leukopenia)"
74,Narcolepsy,3,https://www.mayoclinic.org/diseases-conditions/narcolepsy/symptoms-causes/syc-20375497,"
Excessive daytime sleepiness People with narcolepsy fall asleep without warning It can happen anywhere and at any time It may happen when you're bored or during a task For example, you may be working or talking with friends and suddenly fall asleep It can be especially dangerous if you fall asleep while driving You might fall asleep for only a few minutes or up to a half-hour After waking, you'll often feel refreshed but you'll get sleepy again
You also may experience a decrease in how alert and focused you feel during the day Daytime sleepiness often is the first symptom to appear Feeling sleepy makes it hard to focus and function
Some people with narcolepsy continue doing a task when they fall asleep briefly For example, you may fall asleep while writing, typing or driving You might continue to perform that task while asleep When you awaken, you can't remember what you did, and you probably didn't do it well
, 
Sudden loss of muscle tone This condition is called cataplexy It can cause slurred speech or complete weakness of most muscles Symptoms may last up to a few minutes
Cataplexy can't be controlled It's triggered by intense emotions Often the emotions that cause cataplexy are positive Laughter or excitement may cause the symptoms But sometimes fear, surprise or anger can cause the loss of muscle tone For example, when you laugh, your head may drop without your control Or your knees may suddenly lose strength, causing you to fall
Some people with narcolepsy experience only one or two episodes of cataplexy a year Others have several episodes a day Not everyone with narcolepsy has these symptoms
, 
Sleep paralysis People with narcolepsy often experience sleep paralysis During sleep paralysis, you can't move or speak while falling asleep or upon waking It's usually brief — lasting a few seconds or minutes But it can be scary You may be aware of it happening and can recall it afterward
Not everyone with sleep paralysis has narcolepsy
, Hallucinations Sometimes people see things that aren't there during sleep paralysis Hallucinations also may happen in bed without sleep paralysis These are called hypnagogic hallucinations if they happen as you fall asleep They're called hypnopompic hallucinations if they happen upon waking For example, you might feel as if there is a stranger in your bedroom These hallucinations may be vivid and frightening because you may not be fully asleep when you begin dreaming, Changes in rapid eye movement (REM) sleep REM sleep is when most dreaming happens Typically, people enter REM sleep 60 to 90 minutes after falling asleep But people with narcolepsy often move more quickly to REM sleep They tend to enter REM sleep within 15 minutes of falling asleep REM sleep also can happen at any time of the day"
75,Non-Hodgkin Lymphoma,3,https://www.mayoclinic.org/diseases-conditions/non-hodgkins-lymphoma/symptoms-causes/syc-20375680,"Swollen lymph nodes in your neck, armpits or groin, Abdominal pain or swelling, Chest pain, coughing or trouble breathing, Persistent fatigue, Fever, Night sweats, Unexplained weight loss"
76,Obsessive-Compulsive Disorder (OCD),5,https://www.mayoclinic.org/diseases-conditions/obsessive-compulsive-disorder/symptoms-causes/syc-20354432,"Fear of contamination or dirt, Doubting and having difficulty tolerating uncertainty, Needing things orderly and symmetrical, Aggressive or horrific thoughts about losing control and harming yourself or others, Unwanted thoughts, including aggression, or sexual or religious subjects"
77,Osteoarthritis,3,https://www.mayoclinic.org/diseases-conditions/osteoarthritis/symptoms-causes/syc-20351925,"Pain Affected joints might hurt during or after movement, Stiffness Joint stiffness might be most noticeable upon awakening or after being inactive, Tenderness Your joint might feel tender when you apply light pressure to or near it, Loss of flexibility You might not be able to move your joint through its full range of motion, Grating sensation You might feel a grating sensation when you use the joint, and you might hear popping or crackling, Bone spurs These extra bits of bone, which feel like hard lumps, can form around the affected joint, Swelling This might be caused by soft tissue inflammation around the joint"
